Unique code,Divisi,Tahun,Bulan Pengamatan,Kawasan,Varietas Tebu,Bulan Tanam2,Nama Blok,Tanggal Pengamatan,Luas Tanah,Bulan Tanam,Tahun Tanam,Category Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,stem_borer_label,top_borer_label,kutu_perisai_label,Curah hujan (mm),Kategori Luas Tanah
I20228GMP 55,I,2022,8,21.0,GMP 5,5,64 BS 18,2022-08-12,5.08,2022-05-01,2022,RC1,RC1,3,7.69,1.13,0.0,5,5,10,0,0.0,Black,Green,Green,143,Medium
III20228GMP 55,III,2022,8,21.0,GMP 5,5,55 TS 22,2022-08-12,7.17,2022-05-01,2022,PC,PC,3,0.0,0.49,0.0,5,5,10,1000,0.0,Green,Green,Green,164,Big
III20228GMP 55,III,2022,8,21.0,GMP 5,5,51 TS 22,2022-08-12,3.95,2022-05-01,2022,PC,PC,3,0.0,0.46,0.0,5,5,10,1000,0.0,Green,Green,Green,164,Small
III20228GMP 55,III,2022,8,21.0,GMP 5,5,50 TS 22,2022-08-12,4.43,2022-05-01,2022,PC,PC,3,0.0,0.0,0.0,5,5,10,1000,0.0,Green,Green,Green,164,Medium
VII20228RGM 01-12065,VII,2022,8,7.0,R06,5,363 TU 136,2022-08-13,5.92,2022-05-01,2022,PC,PC,3,1.94,1.16,0.0,5,5,0,0,80.0,Red,Green,Green,201,Medium
VII20228RGM 01-12065,VII,2022,8,7.0,R06,5,369 TU 139,2022-08-13,4.86,2022-05-01,2022,PC,PC,3,0.0,0.31,0.0,5,5,0,0,80.0,Green,Green,Green,201,Medium
VII20228RGM 02-1085,VII,2022,8,16.0,R08,5,345 TU 118,2022-08-13,6.73,2022-05-01,2022,RC2,RC2,3,3.31,4.48,0.04,5,5,0,190,0.0,Red,Red,Green,201,Medium
IV20228RGM 00-6125,IV,2022,8,16.0,R2,5,141 TU 40,2022-08-13,7.32,2022-05-01,2022,RC1,RC1,3,1.28,2.08,0.0,5,6,0,160,5.0,Green,Red,Green,130,Big
I20228RGM 02-1085,I,2022,8,24.0,R08,5,80 BS 25,2022-08-13,9.13,2022-05-01,2022,RC1,RC1,3,0.0,1.47,0.0,5,5,11,0,0.0,Green,Green,Green,143,Big
I20228RGM 02-1085,I,2022,8,24.0,R08,5,80 BS 27,2022-08-13,10.23,2022-05-01,2022,RC1,RC1,3,0.0,4.45,0.0,5,5,11,0,0.0,Green,Red,Green,143,Big
V20228GMP 55,V,2022,8,16.0,GMP 5,5,144 BU 09,2022-08-15,8.71,2022-05-01,2022,RC2,RC2,3,0.0,0.69,0.0,5,5,0,102,10.1,Green,Green,Green,234,Big
V20228GMP 55,V,2022,8,10.0,GMP 5,5,144 BU 13,2022-08-15,6.29,2022-05-01,2022,RC2,RC2,3,0.0,0.78,0.0,5,5,0,102,10.1,Green,Green,Green,234,Medium
I20228GMP 55,I,2022,8,18.0,GMP 5,5,45 BS 06,2022-08-15,6.6,2022-05-01,2022,PC,PC,3,2.06,5.36,0.0,5,5,10,0,0.0,Red,Red,Green,143,Medium
I20228RGM 02-1085,I,2022,8,15.0,R08,5,47 BU 02,2022-08-15,5.11,2022-05-01,2022,RC2,RC2,3,2.22,2.8,0.0,5,5,11,0,0.0,Red,Red,Green,143,Medium
VII20228RGM 01-12065,VII,2022,8,7.0,R06,5,372 TU 140,2022-08-15,2.4,2022-05-01,2022,PC,PC,3,0.0,0.5,0.0,5,5,0,0,80.0,Green,Green,Green,201,Small
VII20228RGM 01-12065,VII,2022,8,7.0,R06,5,371 TU 141,2022-08-15,2.65,2022-05-01,2022,PC,PC,3,0.0,1.19,0.0,5,5,0,0,80.0,Green,Green,Green,201,Small
VII20228RGM 01-12065,VII,2022,8,7.0,R06,5,373 TU 140,2022-08-15,2.25,2022-05-01,2022,PC,PC,3,0.0,0.0,0.0,5,5,0,0,80.0,Green,Green,Green,201,Small
V20228GMP 55,V,2022,8,7.0,GMP 5,5,119 BU 25,2022-08-16,3.06,2022-05-01,2022,RC2,RC2,3,0.0,0.14,0.0,5,5,0,102,10.1,Green,Green,Green,234,Small
VI20228RGM 01-12065,VI,2022,8,10.0,R06,5,218 TU 76,2022-08-16,9.26,2022-05-01,2022,PC,PC,3,0.0,0.85,0.0,5,0,0,0,0.0,Green,Green,Green,137,Big
V20228GMP 55,V,2022,8,7.0,GMP 5,5,119 BU 23,2022-08-16,8.24,2022-05-01,2022,RC2,RC2,3,1.15,0.56,0.0,5,5,0,102,10.1,Green,Green,Green,234,Big
V20228GMP 55,V,2022,8,20.0,GMP 5,5,160 BS 12,2022-08-16,6.05,2022-05-01,2022,PC,PC,3,0.0,0.84,0.0,5,5,0,102,10.1,Green,Green,Green,234,Medium
VI20228RGM 01-12065,VI,2022,8,11.0,R06,5,219 TU 81,2022-08-16,9.25,2022-05-01,2022,PC,PC,3,0.0,1.66,0.0,5,0,0,0,0.0,Green,Red,Green,137,Big
V20228GMP 55,V,2022,8,20.0,GMP 5,5,160 BS 16,2022-08-16,6.79,2022-05-01,2022,PC,PC,3,0.0,0.21,0.0,5,5,0,102,10.1,Green,Green,Green,234,Medium
I20228RGM 02-1085,I,2022,8,29.0,R08,5,52 BS 35,2022-08-16,4.72,2022-05-01,2022,RC2,RC2,3,3.96,4.22,0.0,5,5,11,0,0.0,Red,Red,Green,143,Medium
VI20228RGM 01-12065,VI,2022,8,18.0,R06,5,212 TU 65,2022-08-16,4.77,2022-05-01,2022,PC,PC,3,0.0,0.0,0.0,5,0,0,0,0.0,Green,Green,Green,137,Medium
VI20228RGM 01-12065,VI,2022,8,18.0,R06,5,211 TU 65,2022-08-16,3.2,2022-05-01,2022,PC,PC,3,2.17,0.0,0.0,5,0,0,0,0.0,Red,Green,Green,137,Small
VI20228RGM 01-12065,VI,2022,8,18.0,R06,5,215 TU 65,2022-08-16,3.67,2022-05-01,2022,PC,PC,3,2.08,0.35,0.0,5,0,0,0,0.0,Red,Green,Green,137,Small
I20228RGM 02-1085,I,2022,8,25.0,R08,5,54 BS 24,2022-08-16,7.86,2022-05-01,2022,RC2,RC2,3,5.1,8.2,0.0,5,5,11,0,0.0,Red,Black,Green,143,Big
VI20228RGM 01-12065,VI,2022,8,18.0,R06,5,218 TU 63,2022-08-16,3.5,2022-05-01,2022,PC,PC,3,2.17,0.0,0.0,5,0,0,0,0.0,Red,Green,Green,137,Small
IV20228GMP 55,IV,2022,8,3.0,GMP 5,5,153 TU 66s,2022-08-16,4.53,2022-05-01,2022,PC,PC,3,0.0,0.31,0.0,5,5,0,160,2.0,Green,Green,Green,130,Medium
IV20228GMP 55,IV,2022,8,3.0,GMP 5,5,160 TU 67,2022-08-16,9.66,2022-05-01,2022,PC,PC,3,3.26,0.67,0.0,5,5,0,160,2.0,Red,Green,Green,130,Big
IV20228GMP 55,IV,2022,8,3.0,GMP 5,5,157 TU 66,2022-08-16,8.15,2022-05-01,2022,PC,PC,3,7.14,1.62,0.0,5,5,0,160,2.0,Black,Red,Green,130,Big
I20228GMP 55,I,2022,8,26.0,GMP 5,5,37 BS 29,2022-08-18,5.63,2022-05-01,2022,PC,PC,3,1.68,3.73,0.04,5,5,10,0,0.0,Red,Red,Green,143,Medium
II20228GMP 55,II,2022,8,19.0,GMP 5,5,30 BS 23,2022-08-18,5.56,2022-05-01,2022,RC1,RC1,3,1.27,1.63,0.0,5,5,6,90,10.0,Green,Red,Green,120,Medium
II20228RGM 02-1085,II,2022,8,14.0,R08,5,29 BS 12,2022-08-18,4.5,2022-05-01,2022,RC1,RC1,3,0.0,1.25,0.0,5,5,0,103,0.0,Green,Green,Green,120,Medium
V20228RGM 02-1085,V,2022,8,7.0,R08,5,113 BU 27,2022-08-18,4.02,2022-05-01,2022,RC2,RC2,3,0.0,0.26,0.0,5,5,0,103,10.1,Green,Green,Green,234,Medium
III20228GMP 55,III,2022,8,8.0,GMP 5,5,78 TU 22,2022-08-18,5.87,2022-05-01,2022,RC1,RC1,3,1.49,0.51,0.0,5,5,10,1000,0.0,Green,Green,Green,164,Medium
V20228RGM 02-1085,V,2022,8,7.0,R08,5,114 BU 23,2022-08-18,8.03,2022-05-01,2022,RC2,RC2,3,1.16,3.47,0.0,5,5,0,103,10.1,Green,Red,Green,234,Big
