Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
112 BU 29,6,V,R08,8.0,2022-11-07,5.39,2022-05-01,RC2,1.16,2.13,0.1,5.0,4.0,0.0,105.0,0.0,314.0,2022,11,314
112 BU 29,7,V,R08,8.0,2022-12-07,5.39,2022-05-01,RC2,4.13,3.89,1.8,5.0,5.0,0.0,104.0,0.0,241.0,2022,12,241
112 BU 29,8,V,R08,8.0,2023-01-15,5.39,2022-05-01,RC2,1.18,8.47,5.8,5.0,5.0,0.0,103.0,0.0,225.0,2023,1,225
112 BU 29,9,V,R08,8.0,2023-02-07,5.39,2022-05-01,RC2,0.82,6.87,3.35,5.0,5.0,4.0,120.0,4.0,286.0,2023,2,286
112 BU 29,10,V,R08,8.0,2023-03-21,5.39,2022-05-01,RC2,3.74,14.6,29.65,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
112 BU 29,11,V,R08,8.0,2023-03-01,5.39,2022-05-01,RC2,3.74,14.6,29.65,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
189 TU 76,3,VI,R06,8.0,2022-08-08,6.75,2022-05-01,PC,1.2,0.28,0.0,5.0,0.0,0.0,0.0,0.0,137.0,2022,8,137
189 TU 76,4,VI,R06,8.0,2022-09-08,6.75,2022-05-01,PC,1.85,0.22,0.0,5.0,0.0,0.0,0.0,0.0,81.0,2022,9,81
189 TU 76,5,VI,R06,8.0,2022-10-12,6.75,2022-05-01,PC,1.74,1.93,0.0,7.0,5.0,0.0,0.0,0.0,285.0,2022,10,285
189 TU 76,6,VI,R06,8.0,2022-11-09,6.75,2022-05-01,PC,3.98,1.06,0.0,5.0,5.0,0.0,0.0,0.0,259.0,2022,11,259
189 TU 76,7,VI,R06,8.0,2022-12-10,6.75,2022-05-01,PC,1.81,0.34,0.1,5.0,0.0,0.0,0.0,0.0,172.0,2022,12,172
189 TU 76,8,VI,R06,8.0,2023-01-15,6.75,2022-05-01,PC,0.78,1.57,4.8,5.0,5.0,0.0,0.0,0.0,271.0,2023,1,271
189 TU 76,9,VI,R06,8.0,2023-02-14,6.75,2022-05-01,PC,1.67,0.28,98.9,5.0,0.0,0.0,0.0,0.0,372.0,2023,2,372
189 TU 76,10,VI,R06,8.0,2023-03-16,6.75,2022-05-01,PC,0.62,0.85,142.45,5.0,5.0,0.0,0.0,0.0,537.0,2023,3,537
189 TU 76,11,VI,R06,8.0,2023-04-11,6.75,2022-05-01,PC,2.43,5.12,200.0,5.0,0.0,0.0,0.0,0.0,283.0,2023,4,283
02 BS 15,3,II,GMP 5,17.0,2022-08-08,6.94,2022-05-01,PC,1.22,0.66,0.0,5.0,5.0,6.0,90.0,10.0,120.0,2022,8,120
02 BS 15,4,II,GMP 5,17.0,2022-09-10,6.94,2022-05-01,PC,7.14,4.07,0.0,5.0,5.0,0.0,90.0,10.3,53.0,2022,9,53
02 BS 15,5,II,GMP 5,17.0,2022-10-09,6.94,2022-05-01,PC,3.29,3.79,0.15,5.0,5.0,0.0,101.0,10.3,295.0,2022,10,295
02 BS 15,6,II,GMP 5,17.0,2022-11-08,6.94,2022-05-01,PC,2.11,5.36,0.4,5.0,5.0,0.0,140.0,10.0,194.0,2022,11,194
02 BS 15,7,II,GMP 5,17.0,2022-12-08,6.94,2022-05-01,PC,9.13,4.89,0.05,5.0,5.0,0.0,105.0,10.0,163.0,2022,12,163
02 BS 15,8,II,GMP 5,17.0,2023-01-15,6.94,2022-05-01,PC,2.36,3.54,0.4,5.0,5.0,0.0,100.0,0.0,140.0,2023,1,140
02 BS 15,9,II,GMP 5,17.0,2023-02-11,6.94,2022-05-01,PC,8.37,5.93,52.9,5.0,5.0,0.0,0.0,0.0,249.0,2023,2,249
02 BS 15,10,II,GMP 5,17.0,2023-03-17,6.94,2022-05-01,PC,6.1,10.11,145.05,5.0,5.0,0.0,100.0,0.0,391.0,2023,3,391
